song,artist,discogs_genre,discogs_style
The Box,Roddy Ricch,Hip Hop,Trap
ROCKSTAR,DaBaby ft. Roddy Ricch,Hip Hop,Trap
Peaches,Justin Bieber ft. Daniel Caeser & Giveon,Hip Hop; Pop,None
Way 2 Sexy,Drake ft. Future & Young Thug,Hip Hop; Funk / Soul,Contemporary R&B; Pop Rap
First Class,Jack Harlow,Hip Hop,None
WAIT 4 U,Future ft. Drake & Tems,Pop,Pop Rock
Jimmy Cooks,Drake ft. 21 Savage,Electronic; Hip Hop,House; Deep House; Pop Rap
Last Night,Morgan Wallen,Rock,Alternative Rock
Like Crazy,Jimin,Pop,K-pop
I Remember Everything,Zach Bryan ft. Kacey Musgraves,"Folk, World, & Country",None
First Person Shooter,Drake ft. J Cole,Hip Hop; Funk / Soul,Trap; Pop Rap; Contemporary R&B
Cruel Summer,Taylor Swift,Pop,None
Is It Over Now?,Taylor Swift,Electronic; Pop,Synth-pop; Ballad
Like That,"Future, Metro Boomin, & Kendrick Lamar",Hip Hop,Pop Rap
Love Somebody,Morgan Wallen,"Folk, World, & Country",Country
squabble up,Kendrick Lamar,Electronic; Hip Hop,Trap; Instrumental
